Topic,PassageID,Rank,Offset,length,tagid,Passage
200 , 12595615,1,43.022,3839,339 ,"['associated', 'data', 'disease', 'present']"
200 , 12595615,2,40.761,28426,295 ,"['associated', 'data', 'disease']"
200 , 10986300,3,35.756,45721,818 ,"['activity', 'development', 'disease', 'levels', 'patients', 'serum', 'studies']"
200 , 11809733,4,34.833,8556,1213 ,"['activation', 'cell', 'cells', 'disease', 'expression', 'high', 'increased', 'levels', 'mice', 'pathway', 'patients', 'protein', 'proteins', 'role']"
200 , 10662869,5,34.11,40348,1860 ,"['10', 'activity', 'associated', 'cells', 'data', 'development', 'disease', 'expression', 'gene', 'high', 'human', 'increased', 'levels', 'mice', 'patients', 'receptor', 'role', 'serum', 'studies', 'study']"
200 , 14963203,6,32.447,20397,1136 ,"['activation', 'binding', 'high', 'membrane', 'patients', 'protein', 'serum', 'shown']"
200 , 12595615,7,31.732,6534,570 ,"['activity', 'clinical', 'disease', 'patients']"
200 , 12468814,8,30.98,40606,1364 ,"['activity', 'associated', 'data', 'development', 'disease', 'high', 'levels', 'patients', 'serum', 'studies', 'study']"
200 , 10986308,9,30.914,3551,364 ,"['activity', 'clinical', 'control', 'disease', 'high']"
200 , 9808541,10,30.268,20887,681 ,"['activity', 'disease', 'function', 'protein', 'response', 'serum']"
200 , 10986300,11,30.255,3380,656 ,"['associated', 'disease', 'levels', 'patients', 'specific']"
200 , 10952745,12,30.061,3277,450 ,"['disease', 'high', 'increased', 'levels', 'patients', 'serum']"
200 , 12209031,13,29.846,6600,553 ,['associated']
200 , 10986315,14,29.472,472,442 ,"['activity', 'associated', 'cell', 'disease', 'effect']"
200 , 11067882,15,29.447,5378,936 ,"['cells', 'disease', 'high', 'important', 'patients', 'present', 'serum']"
200 , 9653081,16,29.202,2297,403 ,"['associated', 'disease', 'dna', 'important', 'present', 'response', 'role']"
200 , 14623950,17,29.014,62121,522 ,"['activity', 'associated', 'binding', 'cells', 'disease', 'dna', 'effect', 'patients']"
200 , 12810926,18,28.717,4710,110 ,"['activity', 'disease']"
200 , 12393658,19,28.646,42968,1859 ,"['associated', 'clinical', 'disease', 'patients', 'present', 'reported']"
200 , 12923269,20,28.406,490,551 ,"['activity', 'al', 'disease', 'et', 'et al', 'patients']"
200 , 8996242,21,28.383,2119,1549 ,"['associated', 'cells', 'development', 'disease', 'effect', 'expression', 'levels', 'mice', 'response', 'serum', 'shown', 'type', '½ï']"
200 , 10590257,22,28.354,56157,1028 ,"['activity', 'associated', 'clinical', 'high', 'mice', 'mouse', 'observed']"
200 , 12048290,23,28.024,39039,1364 ,"['activity', 'analysis', 'associated', 'disease', 'levels', 'patients', 'reported', 'serum', 'study', 'treatment']"
200 , 12480958,24,27.992,15611,494 ,"['disease', 'patients', 'serum', 'used']"
200 , 16030085,25,27.85,3676,1272 ,"['activity', 'central', 'disease', 'levels', 'patients', 'protein', 'serum']"
200 , 14623949,26,27.795,6020,368 ,"['activity', 'disease', 'observed', 'patients']"
200 , 10556275,27,27.69,1559,563 ,"['associated', 'including', 'patients']"
200 , 9063387,28,27.554,82135,1426 ,"['associated', 'cells', 'disease', 'dna', 'human', 'including', 'lung', 'patients', 'proteins', 'serum', 'shown', 'specific']"
200 , 12595622,29,27.46,22559,1229 ,"['activity', 'associated', 'data', 'disease', 'patients', 'shown', 'study', 'treatment']"
200 , 16204302,30,27.437,36459,1321 ,"['activity', 'associated', 'disease', 'high', 'increased', 'patients', 'serum', 'treatment']"
200 , 15870182,31,27.371,6548,1082 ,"['associated', 'cell', 'clinical', 'disease', 'effect', 'high', 'new', 'patients', 'reported']"
200 , 10893224,32,27.16,6097,1213 ,"['central', 'disease', 'lung', 'mouse', 'nervous', 'patients']"
200 , 10952745,33,27.156,7785,1354 ,"['cells', 'development', 'disease', 'dna', 'effect', 'high', 'increased', 'levels', 'mice', 'patients', 'reported', 'serum', 'treatment']"
200 , 12509635,34,27.113,701,1170 ,"['activity', 'disease', 'high', 'levels', 'patients', 'reported', 'serum']"
200 , 12198134,35,27.095,17278,798 ,"['high', 'present', 'protein', 'proteins', 'rat', 'serum', 'specific']"
200 , 12393658,36,27.032,21528,957 ,"['associated', 'data', 'disease', 'including', 'patients', 'present', 'shown']"
200 , 10501419,37,26.991,0,341 ,"['activity', 'disease', 'high', 'patients']"
200 , 12393462,38,26.964,6237,1049 ,"['associated', 'clinical', 'patients', 'serum']"
200 , 13130152,39,26.864,4723,166 ,"['activity', 'disease']"
200 , 9763604,40,26.851,2379,1045 ,"['bone', 'cells', 'gene', 'high', 'mice', 'mouse', 'patients', 'receptor', 'regulation', 'serum']"
200 , 14623950,41,26.711,2471,1241 ,"['activity', 'binding', 'cell', 'cells', 'different', 'disease', 'dna', 'effect', 'expression', 'factor', 'gene', 'growth', 'human', 'including', 'patients', 'protein', 'serum', 'using']"
200 , 15342927,42,26.654,28858,740 ,"['activity', 'associated', 'disease', 'serum', 'shown', 'specific']"
200 , 11035132,43,26.628,3103,1245 ,"['associated', 'clinical', 'disease', 'dna', 'factor', 'human', 'including', 'levels', 'patients', 'protein', 'proteins', 'study']"
200 , 15328419,44,26.479,13960,1068 ,"['activity', 'disease', 'levels', 'mice', 'patients', 'shown', 'similar', 'specific', 'studies']"
200 , 12468814,45,26.474,42671,603 ,"['clinical', 'disease', 'role']"
200 , 15914499,46,26.447,1546,402 ,"['activity', 'disease', 'mechanisms', 'patients']"
200 , 10986308,47,26.398,37478,756 ,"['activity', 'control', 'disease', 'high', 'observed', 'patients', 'treatment']"
200 , 10534541,48,26.282,88013,813 ,"['associated', 'different', 'disease', 'levels', 'patients']"
